z,rho
292,0.91987848
292.2,0.9198792
292.4,0.91987991
292.6,0.91988061
292.8,0.91988132
293,0.91988201
293.2,0.91988271
293.4,0.9198834
293.6,0.91988408
293.8,0.91988477
294,0.91988544
294.2,0.91988612
294.4,0.91988679
294.6,0.91988745
294.8,0.91988812
295,0.91988877
295.2,0.91988943
295.4,0.91989008
295.6,0.91989073
295.8,0.91989137
296,0.91989201
296.2,0.91989264
296.4,0.91989327
296.6,0.9198939
296.8,0.91989453
297,0.91989515
297.2,0.91989576
297.4,0.91989638
297.6,0.91989699
297.8,0.91989759
298,0.91989819
298.2,0.91989879
298.4,0.91989939
298.6,0.91989998
298.8,0.91990057
299,0.91990115
299.2,0.91990174
299.4,0.91990231
299.6,0.91990289
299.8,0.91990346
300,0.91990403
300.2,0.91990459
300.4,0.91990515
300.6,0.91990571
300.8,0.91990627
301,0.91990682
301.2,0.91990737
301.4,0.91990791
301.6,0.91990845
301.8,0.91990899
302,0.91990953
302.2,0.91991006
302.4,0.91991059
302.6,0.91991111
302.8,0.91991164
303,0.91991216
303.2,0.91991267
303.4,0.91991319
303.6,0.9199137
303.8,0.91991421
304,0.91991471
304.2,0.91991521
304.4,0.91991571
304.6,0.91991621
304.8,0.9199167
305,0.91991719
305.2,0.91991768
305.4,0.91991816
305.6,0.91991864
305.8,0.91991912
306,0.9199196
306.2,0.91992007
306.4,0.91992054
306.6,0.91992101
306.8,0.91992147
307,0.91992193
307.2,0.91992239
307.4,0.91992285
307.6,0.9199233
307.8,0.91992375
308,0.9199242
308.2,0.91992465
308.4,0.91992509
308.6,0.91992553
308.8,0.91992597
309,0.91992641
309.2,0.91992684
309.4,0.91992727
309.6,0.9199277
309.8,0.91992812
310,0.91992855
310.2,0.91992897
310.4,0.91992938
310.6,0.9199298
310.8,0.91993021
311,0.91993062
311.2,0.91993103
311.4,0.91993144
311.6,0.91993184
311.8,0.91993224
312,0.91993264
312.2,0.91993304
312.4,0.91993343
312.6,0.91993382
312.8,0.91993421
313,0.9199346
313.2,0.91993498
313.4,0.91993536
313.6,0.91993574
313.8,0.91993612
314,0.9199365
314.2,0.91993687
314.4,0.91993724
314.6,0.91993761
314.8,0.91993798
315,0.91993834
315.2,0.91993871
315.4,0.91993907
315.6,0.91993943
315.8,0.91993978
316,0.91994014
316.2,0.91994049
316.4,0.91994084
316.6,0.91994119
316.8,0.91994153
317,0.91994188
317.2,0.91994222
317.4,0.91994256
317.6,0.9199429
317.8,0.91994323
318,0.91994357
318.2,0.9199439
318.4,0.91994423
318.6,0.91994456
318.8,0.91994488
319,0.91994521
319.2,0.91994553
319.4,0.91994585
319.6,0.91994617
319.8,0.91994649
320,0.9199468
320.2,0.91994711
320.4,0.91994742
320.6,0.91994773
320.8,0.91994804
321,0.91994835
321.2,0.91994865
321.4,0.91994895
321.6,0.91994925
321.8,0.91994955
322,0.91994985
322.2,0.91995014
322.4,0.91995044
322.6,0.91995073
322.8,0.91995102
323,0.91995131
323.2,0.91995159
323.4,0.91995188
323.6,0.91995216
323.8,0.91995244
324,0.91995272
324.2,0.919953
324.4,0.91995328
324.6,0.91995355
324.8,0.91995382
325,0.9199541
325.2,0.91995437
325.4,0.91995463
325.6,0.9199549
325.8,0.91995517
326,0.91995543
326.2,0.91995569
326.4,0.91995595
326.6,0.91995621
326.8,0.91995647
327,0.91995673
327.2,0.91995698
327.4,0.91995723
327.6,0.91995748
327.8,0.91995773
328,0.91995798
328.2,0.91995823
328.4,0.91995848
328.6,0.91995872
328.8,0.91995896
329,0.9199592
329.2,0.91995944
329.4,0.91995968
329.6,0.91995992
329.8,0.91996016
330,0.91996039
330.2,0.91996062
330.4,0.91996086
330.6,0.91996109
330.8,0.91996131
331,0.91996154
331.2,0.91996177
331.4,0.91996199
331.6,0.91996222
331.8,0.91996244
332,0.91996266
332.2,0.91996288
332.4,0.9199631
332.6,0.91996332
332.8,0.91996353
333,0.91996375
333.2,0.91996396
333.4,0.91996417
333.6,0.91996438
333.8,0.91996459
334,0.9199648
334.2,0.91996501
334.4,0.91996521
334.6,0.91996542
334.8,0.91996562
335,0.91996582
335.2,0.91996602
335.4,0.91996622
335.6,0.91996642
335.8,0.91996662
336,0.91996682
336.2,0.91996701
336.4,0.91996721
336.6,0.9199674
336.8,0.91996759
337,0.91996778
337.2,0.91996797
337.4,0.91996816
337.6,0.91996835
337.8,0.91996853
338,0.91996872
338.2,0.9199689
338.4,0.91996908
338.6,0.91996927
338.8,0.91996945
339,0.91996963
339.2,0.91996981
339.4,0.91996998
339.6,0.91997016
339.8,0.91997034
340,0.91997051
340.2,0.91997068
340.4,0.91997086
340.6,0.91997103
340.8,0.9199712
341,0.91997137
341.2,0.91997154
341.4,0.9199717
341.6,0.91997187
341.8,0.91997203
342,0.9199722
342.2,0.91997236
342.4,0.91997253
342.6,0.91997269
342.8,0.91997285
343,0.91997301
343.2,0.91997317
343.4,0.91997332
343.6,0.91997348
343.8,0.91997364
344,0.91997379
344.2,0.91997395
344.4,0.9199741
344.6,0.91997425
344.8,0.9199744
345,0.91997455
345.2,0.9199747
345.4,0.91997485
345.6,0.919975
345.8,0.91997515
346,0.91997529
346.2,0.91997544
346.4,0.91997558
346.6,0.91997573
346.8,0.91997587
347,0.91997601
347.2,0.91997615
347.4,0.91997629
347.6,0.91997643
347.8,0.91997657
348,0.91997671
348.2,0.91997685
348.4,0.91997698
348.6,0.91997712
348.8,0.91997725
349,0.91997739
349.2,0.91997752
349.4,0.91997765
349.6,0.91997778
349.8,0.91997791
350,0.91997804
350.2,0.91997817
350.4,0.9199783
350.6,0.91997843
350.8,0.91997856
351,0.91997868
351.2,0.91997881
351.4,0.91997893
351.6,0.91997906
351.8,0.91997918
352,0.9199793
352.2,0.91997942
352.4,0.91997954
352.6,0.91997966
352.8,0.91997978
353,0.9199799
353.2,0.91998002
353.4,0.91998014
353.6,0.91998026
353.8,0.91998037
354,0.91998049
354.2,0.9199806
354.4,0.91998072
354.6,0.91998083
354.8,0.91998094
355,0.91998105
355.2,0.91998117
355.4,0.91998128
355.6,0.91998139
355.8,0.9199815
356,0.91998161
356.2,0.91998171
356.4,0.91998182
356.6,0.91998193
356.8,0.91998203
357,0.91998214
357.2,0.91998225
357.4,0.91998235
357.6,0.91998245
357.8,0.91998256
358,0.91998266
358.2,0.91998276
358.4,0.91998286
358.6,0.91998296
358.8,0.91998306
359,0.91998316
359.2,0.91998326
359.4,0.91998336
359.6,0.91998346
359.8,0.91998356
360,0.91998365
360.2,0.91998375
360.4,0.91998384
360.6,0.91998394
360.8,0.91998403
361,0.91998413
361.2,0.91998422
361.4,0.91998431
361.6,0.91998441
361.8,0.9199845
362,0.91998459
362.2,0.91998468
362.4,0.91998477
362.6,0.91998486
362.8,0.91998495
363,0.91998504
363.2,0.91998513
363.4,0.91998521
363.6,0.9199853
363.8,0.91998539
364,0.91998547
364.2,0.91998556
364.4,0.91998564
364.6,0.91998573
364.8,0.91998581
365,0.91998589
365.2,0.91998598
365.4,0.91998606
365.6,0.91998614
365.8,0.91998622
366,0.9199863
366.2,0.91998639
366.4,0.91998647
366.6,0.91998654
366.8,0.91998662
367,0.9199867
367.2,0.91998678
367.4,0.91998686
367.6,0.91998694
367.8,0.91998701
368,0.91998709
368.2,0.91998717
368.4,0.91998724
368.6,0.91998732
368.8,0.91998739
369,0.91998746
369.2,0.91998754
369.4,0.91998761
369.6,0.91998768
369.8,0.91998776
370,0.91998783
370.2,0.9199879
370.4,0.91998797
370.6,0.91998804
370.8,0.91998811
371,0.91998818
371.2,0.91998825
371.4,0.91998832
371.6,0.91998839
371.8,0.91998846
372,0.91998853
372.2,0.91998859
372.4,0.91998866
372.6,0.91998873
372.8,0.91998879
373,0.91998886
373.2,0.91998893
373.4,0.91998899
373.6,0.91998906
373.8,0.91998912
374,0.91998918
374.2,0.91998925
374.4,0.91998931
374.6,0.91998937
374.8,0.91998944
375,0.9199895
375.2,0.91998956
375.4,0.91998962
375.6,0.91998968
375.8,0.91998974
376,0.9199898
376.2,0.91998986
376.4,0.91998992
376.6,0.91998998
376.8,0.91999004
377,0.9199901
377.2,0.91999016
377.4,0.91999022
377.6,0.91999027
377.8,0.91999033
378,0.91999039
378.2,0.91999044
378.4,0.9199905
378.6,0.91999056
378.8,0.91999061
379,0.91999067
379.2,0.91999072
379.4,0.91999078
379.6,0.91999083
379.8,0.91999088
380,0.91999094
380.2,0.91999099
380.4,0.91999104
380.6,0.9199911
380.8,0.91999115
381,0.9199912
381.2,0.91999125
381.4,0.9199913
381.6,0.91999136
381.8,0.91999141
382,0.91999146
382.2,0.91999151
382.4,0.91999156
382.6,0.91999161
382.8,0.91999166
383,0.91999171
383.2,0.91999175
383.4,0.9199918
383.6,0.91999185
383.8,0.9199919
384,0.91999195
384.2,0.91999199
384.4,0.91999204
384.6,0.91999209
384.8,0.91999213
385,0.91999218
385.2,0.91999223
385.4,0.91999227
385.6,0.91999232
385.8,0.91999236
386,0.91999241
386.2,0.91999245
386.4,0.9199925
386.6,0.91999254
386.8,0.91999259
387,0.91999263
387.2,0.91999267
387.4,0.91999272
387.6,0.91999276
387.8,0.9199928
388,0.91999284
388.2,0.91999289
388.4,0.91999293
388.6,0.91999297
388.8,0.91999301
389,0.91999305
389.2,0.91999309
389.4,0.91999313
389.6,0.91999317
389.8,0.91999321
390,0.91999325
390.2,0.91999329
390.4,0.91999333
390.6,0.91999337
390.8,0.91999341
391,0.91999345
391.2,0.91999349
391.4,0.91999353
391.6,0.91999356
391.8,0.9199936
392,0.91999364
392.2,0.91999368
392.4,0.91999371
392.6,0.91999375
392.8,0.91999379
393,0.91999382
393.2,0.91999386
393.4,0.9199939
393.6,0.91999393
393.8,0.91999397
394,0.919994
394.2,0.91999404
394.4,0.91999407
394.6,0.91999411
394.8,0.91999414
395,0.91999418
395.2,0.91999421
395.4,0.91999425
395.6,0.91999428
395.8,0.91999431
396,0.91999435
396.2,0.91999438
396.4,0.91999441
396.6,0.91999445
396.8,0.91999448
397,0.91999451
397.2,0.91999454
397.4,0.91999458
397.6,0.91999461
397.8,0.91999464
398,0.91999467
398.2,0.9199947
398.4,0.91999473
398.6,0.91999477
398.8,0.9199948
399,0.91999483
399.2,0.91999486
399.4,0.91999489
399.6,0.91999492
399.8,0.91999495
400,0.91999498
