z,rho
67.2,0.7917654
67.4,0.7926256
67.6,0.7934856
67.8,0.7943455
68,0.7952052
68.2,0.7960647
68.4,0.7969239
68.6,0.7977827
68.8,0.798641
69,0.7994989
69.2,0.8003562
69.4,0.8012128
69.6,0.8020687
69.8,0.8029236
70,0.8037777
70.2,0.8046306
70.4,0.8054824
70.6,0.8063328
70.8,0.8071818
71,0.8080293
71.2,0.8088751
71.4,0.809719
71.6,0.810561
71.8,0.8114009
72,0.8122385
72.2,0.8130737
72.4,0.8139063
72.6,0.8147362
72.8,0.8155632
73,0.8163872
73.2,0.817208
73.4,0.8180253
73.6,0.8188392
73.8,0.8196493
74,0.8204556
74.2,0.8212578
74.4,0.8220558
74.6,0.8228494
74.8,0.8236385
75,0.8244229
75.2,0.8252024
75.4,0.8259768
75.6,0.8267461
75.8,0.82751
76,0.8282685
76.2,0.8290213
76.4,0.8297683
76.6,0.8305093
76.8,0.8312443
77,0.8319731
77.2,0.8326956
77.4,0.8334116
77.6,0.834121
77.8,0.8348238
78,0.8355198
78.2,0.8362089
78.4,0.8368911
78.6,0.8375662
78.8,0.8382343
79,0.8388951
79.2,0.8395487
79.4,0.840195
79.6,0.840834
79.8,0.8414656
80,0.8420898
80.2,0.8427066
80.4,0.843316
80.6,0.843918
80.8,0.8445126
81,0.8450998
81.2,0.8456796
81.4,0.8462521
81.6,0.8468174
81.8,0.8473754
82,0.8479263
82.2,0.84847
82.4,0.8490068
82.6,0.8495367
82.8,0.8500597
83,0.850576
83.2,0.8510858
83.4,0.851589
83.6,0.8520859
83.8,0.8525766
84,0.8530612
84.2,0.8535399
84.4,0.8540128
84.6,0.8544801
84.8,0.8549419
85,0.8553985
85.2,0.8558499
85.4,0.8562965
85.6,0.8567383
85.8,0.8571756
86,0.8576084
86.2,0.8580372
86.4,0.8584619
86.6,0.8588829
86.8,0.8593002
87,0.8597142
87.2,0.860125
87.4,0.8605328
87.6,0.8609377
87.8,0.8613401
88,0.86174
88.2,0.8621376
88.4,0.8625332
88.6,0.8629269
88.8,0.8633189
89,0.8637094
89.2,0.8640985
89.4,0.8644863
89.6,0.8648731
89.8,0.8652589
90,0.865644
90.2,0.8660283
90.4,0.8664121
90.6,0.8667955
90.8,0.8671785
91,0.8675613
91.2,0.8679438
91.4,0.8683263
91.6,0.8687087
91.8,0.8690912
92,0.8694736
92.2,0.8698562
92.4,0.8702388
92.6,0.8706215
92.8,0.8710043
93,0.8713871
93.2,0.87177
93.4,0.8721528
93.6,0.8725356
93.8,0.8729182
94,0.8733006
94.2,0.8736827
94.4,0.8740644
94.6,0.8744456
94.8,0.8748261
95,0.8752059
95.2,0.8755848
95.4,0.8759626
95.6,0.8763392
95.8,0.8767145
96,0.8770882
96.2,0.8774602
96.4,0.8778303
96.6,0.8781983
96.8,0.8785641
97,0.8789274
97.2,0.879288
97.4,0.8796457
97.6,0.8800004
97.8,0.8803518
98,0.8806997
98.2,0.8810439
98.4,0.8813843
98.6,0.8817207
98.8,0.8820528
99,0.8823805
99.2,0.8827036
99.4,0.8830219
99.6,0.8833353
99.8,0.8836437
100,0.8839469
100.2,0.8842448
100.4,0.8845372
100.6,0.8848241
100.8,0.8851055
101,0.8853811
101.2,0.8856511
101.4,0.8859153
101.6,0.8861738
101.8,0.8864265
102,0.8866735
102.2,0.8869148
102.4,0.8871505
102.6,0.8873807
102.8,0.8876055
103,0.8878249
103.2,0.8880393
103.4,0.8882486
103.6,0.8884531
103.8,0.8886531
104,0.8888487
104.2,0.8890402
104.4,0.8892279
104.6,0.8894121
104.8,0.889593
105,0.8897709
105.2,0.88994873
105.4,0.89012551
105.6,0.89030125
105.8,0.89047595
106,0.89064963
106.2,0.89082229
106.4,0.89099393
106.6,0.89116456
106.8,0.89133419
107,0.89150282
107.2,0.89167046
107.4,0.89183711
107.6,0.89200279
107.8,0.89216748
108,0.89233121
108.2,0.89249398
108.4,0.89265578
108.6,0.89281664
108.8,0.89297655
109,0.89313552
109.2,0.89329355
109.4,0.89345066
109.6,0.89360684
109.8,0.8937621
110,0.89391645
110.2,0.89406988
110.4,0.89422242
110.6,0.89437406
110.8,0.89452481
111,0.89467467
111.2,0.89482365
111.4,0.89497175
111.6,0.89511899
111.8,0.89526535
112,0.89541086
112.2,0.89555551
112.4,0.8956993
112.6,0.89584225
112.8,0.89598437
113,0.89612564
113.2,0.89626609
113.4,0.8964057
113.6,0.8965445
113.8,0.89668248
114,0.89681965
114.2,0.89695601
114.4,0.89709157
114.6,0.89722633
114.8,0.8973603
115,0.89749348
115.2,0.89762588
115.4,0.8977575
115.6,0.89788834
115.8,0.89801842
116,0.89814772
116.2,0.89827627
116.4,0.89840407
116.6,0.89853111
116.8,0.8986574
117,0.89878295
117.2,0.89890776
117.4,0.89903184
117.6,0.89915519
117.8,0.89927781
118,0.89939971
118.2,0.8995209
118.4,0.89964137
118.6,0.89976113
118.8,0.89988019
119,0.89999854
119.2,0.90011621
119.4,0.90023317
119.6,0.90034946
119.8,0.90046505
120,0.90057997
120.2,0.90069421
120.4,0.90080778
120.6,0.90092068
120.8,0.90103292
121,0.90114449
121.2,0.90125541
121.4,0.90136568
121.6,0.9014753
121.8,0.90158427
122,0.90169261
122.2,0.9018003
122.4,0.90190736
122.6,0.9020138
122.8,0.9021196
123,0.90222479
123.2,0.90232935
123.4,0.9024333
123.6,0.90253664
123.8,0.90263937
124,0.9027415
124.2,0.90284302
124.4,0.90294395
124.6,0.90304428
124.8,0.90314403
125,0.90324319
125.2,0.90334176
125.4,0.90343975
125.6,0.90353717
125.8,0.90363402
126,0.90373029
126.2,0.903826
126.4,0.90392115
126.6,0.90401573
126.8,0.90410976
127,0.90420324
127.2,0.90429616
127.4,0.90438854
127.6,0.90448038
127.8,0.90457168
128,0.90466244
128.2,0.90475266
128.4,0.90484235
128.6,0.90493152
128.8,0.90502016
129,0.90510828
129.2,0.90519589
129.4,0.90528297
129.6,0.90536955
129.8,0.90545561
130,0.90554117
130.2,0.90562623
130.4,0.90571079
130.6,0.90579484
130.8,0.90587841
131,0.90596148
131.2,0.90604406
131.4,0.90612616
131.6,0.90620777
131.8,0.90628891
132,0.90636957
132.2,0.90644975
132.4,0.90652946
132.6,0.9066087
132.8,0.90668748
133,0.90676579
133.2,0.90684364
133.4,0.90692104
133.6,0.90699798
133.8,0.90707446
134,0.9071505
134.2,0.90722609
134.4,0.90730123
134.6,0.90737593
134.8,0.9074502
135,0.90752402
135.2,0.90759741
135.4,0.90767037
135.6,0.9077429
135.8,0.90781501
136,0.90788669
136.2,0.90795795
136.4,0.90802878
136.6,0.90809921
136.8,0.90816921
137,0.90823881
137.2,0.908308
137.4,0.90837678
137.6,0.90844515
137.8,0.90851313
138,0.9085807
138.2,0.90864787
138.4,0.90871465
138.6,0.90878104
138.8,0.90884704
139,0.90891265
139.2,0.90897787
139.4,0.90904271
139.6,0.90910717
139.8,0.90917125
140,0.90923495
140.2,0.90929827
140.4,0.90936123
140.6,0.90942381
140.8,0.90948603
141,0.90954788
141.2,0.90960936
141.4,0.90967049
141.6,0.90973125
141.8,0.90979166
142,0.90985171
142.2,0.90991141
142.4,0.90997076
142.6,0.91002976
142.8,0.91008841
143,0.91014671
143.2,0.91020468
143.4,0.9102623
143.6,0.91031958
143.8,0.91037653
144,0.91043314
144.2,0.91048942
144.4,0.91054537
144.6,0.91060098
144.8,0.91065627
145,0.91071124
145.2,0.91076588
145.4,0.9108202
145.6,0.9108742
145.8,0.91092789
146,0.91098126
146.2,0.91103431
146.4,0.91108705
146.6,0.91113948
146.8,0.91119161
147,0.91124342
147.2,0.91129494
147.4,0.91134614
147.6,0.91139705
147.8,0.91144766
148,0.91149797
148.2,0.91154798
148.4,0.9115977
148.6,0.91164713
148.8,0.91169627
149,0.91174512
149.2,0.91179368
149.4,0.91184195
149.6,0.91188994
149.8,0.91193765
150,0.91198508
150.2,0.91203223
150.4,0.9120791
150.6,0.91212569
150.8,0.91217202
151,0.91221806
151.2,0.91226384
151.4,0.91230935
151.6,0.91235459
151.8,0.91239957
152,0.91244428
152.2,0.91248873
152.4,0.91253291
152.6,0.91257684
152.8,0.91262051
153,0.91266392
153.2,0.91270707
153.4,0.91274997
153.6,0.91279262
153.8,0.91283502
154,0.91287717
154.2,0.91291907
154.4,0.91296073
154.6,0.91300214
154.8,0.9130433
155,0.91308422
155.2,0.91312491
155.4,0.91316535
155.6,0.91320556
155.8,0.91324553
156,0.91328526
156.2,0.91332476
156.4,0.91336403
156.6,0.91340307
156.8,0.91344187
157,0.91348045
157.2,0.9135188
157.4,0.91355693
157.6,0.91359483
157.8,0.91363251
158,0.91366997
158.2,0.91370721
158.4,0.91374423
158.6,0.91378103
158.8,0.91381761
159,0.91385398
159.2,0.91389013
159.4,0.91392607
159.6,0.91396181
159.8,0.91399733
160,0.91403264
160.2,0.91406774
160.4,0.91410264
160.6,0.91413733
160.8,0.91417182
161,0.9142061
161.2,0.91424019
161.4,0.91427407
161.6,0.91430775
161.8,0.91434124
162,0.91437453
162.2,0.91440762
162.4,0.91444052
162.6,0.91447322
162.8,0.91450573
163,0.91453805
163.2,0.91457019
163.4,0.91460213
163.6,0.91463388
163.8,0.91466545
164,0.91469683
164.2,0.91472803
164.4,0.91475904
164.6,0.91478987
164.8,0.91482052
165,0.91485099
165.2,0.91488128
165.4,0.91491139
165.6,0.91494132
165.8,0.91497108
166,0.91500066
166.2,0.91503007
166.4,0.91505931
166.6,0.91508837
166.8,0.91511727
167,0.91514599
167.2,0.91517454
167.4,0.91520293
167.6,0.91523115
167.8,0.9152592
168,0.91528709
168.2,0.91531482
168.4,0.91534238
168.6,0.91536978
168.8,0.91539701
169,0.91542409
169.2,0.91545101
169.4,0.91547777
169.6,0.91550437
169.8,0.91553082
170,0.91555711
170.2,0.91558325
170.4,0.91560923
170.6,0.91563506
170.8,0.91566073
171,0.91568626
171.2,0.91571164
171.4,0.91573686
171.6,0.91576194
171.8,0.91578687
172,0.91581166
172.2,0.9158363
172.4,0.91586079
172.6,0.91588514
172.8,0.91590935
173,0.91593341
173.2,0.91595733
173.4,0.91598111
173.6,0.91600475
173.8,0.91602826
174,0.91605162
174.2,0.91607485
174.4,0.91609794
174.6,0.91612089
