0,8.00E-01,0.00E+00
0.5,8.00E-01,0.00E+00
1,8.00E-01,0.00E+00
1.5,8.00E-01,0.00E+00
2,8.00E-01,0.00E+00
2.5,8.00E-01,0.00E+00
3,8.00E-01,0.00E+00
3.5,8.00E-01,0.00E+00
4,8.00E-01,0.00E+00
4.5,8.00E-01,0.00E+00
5,8.00E-01,0.00E+00
5.5,8.00E-01,0.00E+00
6,8.00E-01,0.00E+00
6.5,8.00E-01,0.00E+00
7,8.00E-01,0.00E+00
7.5,8.00E-01,0.00E+00
8,8.00E-01,0.00E+00
8.5,8.00E-01,0.00E+00
9,8.00E-01,0.00E+00
9.5,8.00E-01,0.00E+00
10,8.00E-01,0.00E+00
10.5,8.00E-01,0.00E+00
11,8.00E-01,0.00E+00
11.5,8.00E-01,0.00E+00
12,8.00E-01,0.00E+00
12.5,8.00E-01,0.00E+00
13,8.00E-01,0.00E+00
13.5,8.00E-01,0.00E+00
14,8.00E-01,0.00E+00
14.5,8.00E-01,0.00E+00
15,8.00E-01,0.00E+00
15.5,8.00E-01,0.00E+00
16,8.00E-01,0.00E+00
16.5,8.00E-01,0.00E+00
17,7.99E-01,0.00E+00
17.5,7.99E-01,0.00E+00
18,7.98E-01,0.00E+00
18.5,7.97E-01,0.00E+00
19,7.96E-01,0.00E+00
19.5,7.94E-01,0.00E+00
20,7.91E-01,0.00E+00
20.5,7.88E-01,0.00E+00
21,7.84E-01,0.00E+00
21.5,7.79E-01,0.00E+00
22,7.74E-01,0.00E+00
22.5,7.67E-01,0.00E+00
23,7.59E-01,0.00E+00
23.5,7.51E-01,0.00E+00
24,7.41E-01,0.00E+00
24.5,7.30E-01,0.00E+00
25,7.18E-01,0.00E+00
25.5,7.06E-01,0.00E+00
26,6.92E-01,0.00E+00
26.5,6.78E-01,0.00E+00
27,6.64E-01,0.00E+00
27.5,6.48E-01,0.00E+00
28,6.33E-01,0.00E+00
28.5,6.18E-01,0.00E+00
29,6.02E-01,0.00E+00
29.5,5.87E-01,0.00E+00
30,5.73E-01,0.00E+00
30.5,5.58E-01,0.00E+00
31,5.44E-01,0.00E+00
31.5,5.31E-01,0.00E+00
32,5.19E-01,0.00E+00
32.5,5.07E-01,0.00E+00
33,4.97E-01,0.00E+00
33.5,4.87E-01,0.00E+00
34,4.78E-01,0.00E+00
34.5,4.70E-01,0.00E+00
35,4.63E-01,0.00E+00
35.5,4.57E-01,0.00E+00
36,4.52E-01,0.00E+00
36.5,4.47E-01,0.00E+00
37,4.43E-01,0.00E+00
37.5,4.40E-01,0.00E+00
38,4.38E-01,0.00E+00
38.5,4.36E-01,0.00E+00
39,4.35E-01,0.00E+00
39.5,4.34E-01,0.00E+00
40,4.34E-01,0.00E+00
40.5,4.34E-01,0.00E+00
41,4.35E-01,0.00E+00
41.5,4.36E-01,0.00E+00
42,4.36E-01,0.00E+00
42.5,4.38E-01,0.00E+00
43,4.39E-01,0.00E+00
43.5,4.40E-01,0.00E+00
44,4.41E-01,0.00E+00
44.5,4.42E-01,0.00E+00
45,4.43E-01,0.00E+00
45.5,4.44E-01,0.00E+00
46,4.45E-01,0.00E+00
46.5,4.46E-01,0.00E+00
47,4.46E-01,0.00E+00
47.5,4.47E-01,0.00E+00
48,4.47E-01,0.00E+00
48.5,4.47E-01,0.00E+00
49,4.46E-01,0.00E+00
49.5,4.46E-01,0.00E+00
50,4.45E-01,0.00E+00
50.5,4.44E-01,0.00E+00
51,4.43E-01,0.00E+00
51.5,4.42E-01,0.00E+00
52,4.40E-01,0.00E+00
52.5,4.38E-01,0.00E+00
53,4.36E-01,0.00E+00
53.5,4.33E-01,0.00E+00
54,4.31E-01,0.00E+00
54.5,4.28E-01,0.00E+00
55,4.24E-01,0.00E+00
55.5,4.21E-01,0.00E+00
56,4.17E-01,0.00E+00
56.5,4.13E-01,0.00E+00
57,4.09E-01,0.00E+00
57.5,4.04E-01,0.00E+00
58,4.00E-01,0.00E+00
58.5,3.95E-01,0.00E+00
59,3.90E-01,0.00E+00
59.5,3.85E-01,0.00E+00
60,3.79E-01,0.00E+00
60.5,3.74E-01,0.00E+00
61,3.68E-01,0.00E+00
61.5,3.63E-01,0.00E+00
62,3.57E-01,0.00E+00
62.5,3.51E-01,0.00E+00
63,3.45E-01,0.00E+00
63.5,3.39E-01,0.00E+00
64,3.33E-01,0.00E+00
64.5,3.27E-01,0.00E+00
65,3.21E-01,0.00E+00
65.5,3.15E-01,0.00E+00
66,3.09E-01,0.00E+00
66.5,3.03E-01,0.00E+00
67,2.97E-01,0.00E+00
67.5,2.91E-01,0.00E+00
68,2.84E-01,0.00E+00
68.5,2.78E-01,0.00E+00
69,2.71E-01,0.00E+00
69.5,2.65E-01,0.00E+00
70,2.58E-01,0.00E+00
70.5,2.51E-01,0.00E+00
71,2.44E-01,0.00E+00
71.5,2.37E-01,0.00E+00
72,2.30E-01,0.00E+00
72.5,2.23E-01,0.00E+00
73,2.16E-01,0.00E+00
73.5,2.09E-01,0.00E+00
74,2.02E-01,0.00E+00
74.5,1.95E-01,0.00E+00
75,1.89E-01,0.00E+00
75.5,1.82E-01,0.00E+00
76,1.75E-01,0.00E+00
76.5,1.68E-01,0.00E+00
77,1.62E-01,0.00E+00
77.5,1.55E-01,0.00E+00
78,1.49E-01,0.00E+00
78.5,1.43E-01,0.00E+00
