h,Phi_v,dPhi_v
10.3,0.0037,0.00032
18.0,0.00224,0.00015
20.9,0.00183,0.00018
38.4,0.000961,8.5e-05
45.6,0.000759,7.2e-05
59.0,0.000499,4.1e-05
71.7,0.00039,3.3e-05
100.0,0.000202,1.8e-05
111.0,0.00018,1.6e-05
143.0,0.00011,1e-05
175.0,7.39e-05,8.8e-06
