h,Phi_v,dPhi_v
1.2899999999999991,0.009130000000000001,0.00012
1.7899999999999991,0.00887,0.00012
3.99,0.00766,8.999999999999999e-05
8.950000000000001,0.00556,6e-05
13.909999999999998,0.00415,5e-05
18.729999999999997,0.0032,4e-05
37.39,0.0014,2e-05
42.09,0.0011899999999999999,6e-05
